epoch,train_loss,valid_loss
1,0.4569546654820442,0.4653642140328884
2,0.2552173504871981,0.4601556807756424
3,0.13831612787076406,0.3738776743412018
4,0.08251493104866572,0.3418484926223755
5,0.1273621687931674,0.32007550448179245
6,0.06480713401521955,0.1156320720911026
7,0.05132341331669262,0.13148058578372002
8,0.042863174474665096,0.11918345931917429
9,0.12481671039547239,0.927254356443882
10,0.0899523092167718,0.2813101317733526
11,0.05950185975858143,0.11559138633310795
12,0.056472757565123696,0.10309786722064018
13,0.05111633347613471,0.08829164318740368
14,0.07214404376489776,0.08817233517765999
15,0.0185920526938779,0.04154222644865513
16,0.015793712543589727,0.12232603412121534
17,0.017267769468682154,0.1157419141381979
18,0.04251376273376601,0.08420045860111713
19,0.007059353802885328,0.008206554688513279
20,0.0738698382462774,0.061656201258301735
21,0.006635704210826329,0.0334604624658823
22,0.023448804127318517,0.04811759293079376
23,0.0193264793072428,0.10637025162577629
24,0.02778438319052969,0.07610481791198254
25,0.04792394595486777,0.050814155489206314
26,0.016383482941559384,0.0868540070950985
27,0.058711128043276925,0.059446221217513084
28,0.005266506224870682,0.019359413534402847
29,0.024291403591632843,0.08953872509300709
