epoch,train_loss,valid_loss
1,0.09440139787537712,0.9957130253314972
2,0.051068440079689026,0.9659727215766907
3,0.008929458579846792,0.8858968317508698
4,0.025924745947122574,0.4557417184114456
5,0.012895644243274416,0.04196374490857124
6,0.009523355535098485,0.05946369841694832
7,0.017150451562234333,0.22255171183496714
8,0.010023254368986403,0.1068038810044527
9,0.009399877062865667,0.05159666761755943
10,0.045699008873530796,0.03123484831303358
11,0.012319862310375487,0.08474313328042626
12,0.0037828141025134493,0.07783253770321608
13,0.003149380109139851,0.09512969106435776
14,0.012976578303745814,0.08855386078357697
15,0.007173182708876473,0.10580648481845856
16,0.012327600802694048,0.1538156121969223
17,0.011714521263326918,0.19501108583062887
18,0.0,0.0846533989533782
19,0.00894336508853095,0.029569130390882492
20,0.0005550810268947057,0.0654920106753707
21,0.003974114145551409,0.053157005459070206
22,0.00023403444460460117,0.01058269664645195
23,0.018893897533416748,0.11561724357306957
24,0.007086476577179772,0.03430694621056318
25,0.0,0.06813020445406437
26,0.00962289422750473,0.019066734239459038
27,0.02463200209396226,0.07422376051545143
28,0.008453673017876489,0.13244390580803156
29,0.0022675650460379465,0.09770120494067669
30,0.0,0.027242450043559074
