epoch,train_loss,valid_loss
1,0.03826680140835898,0.993000790476799
2,0.05502827252660479,0.9406715780496597
3,0.11441655457019806,0.7596108317375183
4,0.02005051715033395,0.26054147630929947
5,0.04598903549568994,0.12104782555252314
6,0.04368471567119871,0.2663187626749277
7,0.012196278997829981,0.21483059599995613
8,0.009545688118253435,0.291607104241848
9,0.0026186278888157438,0.10641428083181381
10,0.07205785385199956,0.3103259317576885
11,0.0631272920540401,0.10280349478125572
12,0.003114791853087289,0.02472834475338459
13,0.0038916936942509244,0.032185522839426994
14,0.0,0.13199499249458313
15,0.016670006726469313,0.1268109790980816
16,0.014171745095934187,0.06283299531787634
17,0.03273617795535496,0.06209670007228851
18,0.002356090715953282,0.10224661231040955
19,0.006871800869703293,0.08451499044895172
20,0.005765121962342944,0.05554315075278282
21,0.007344552448817662,0.1422540508210659
22,0.034722957227911265,0.05374625697731972
