epoch,train_loss,valid_loss
1,0.06277311423148674,0.26735060449157444
2,0.0347399958051168,0.05947374871798924
3,0.04204056698542375,0.03383265861443111
4,0.033506377385212824,0.03565531224012375
5,0.025516867637634277,0.05726462389741625
6,0.02040811226918147,0.15462052609239305
7,0.020017433625001173,0.041347021503107886
8,0.03433941648556636,0.05828004969017846
9,0.01944271417764517,0.033950955740043094
10,0.015689669320216544,0.015620775520801544
11,0.019838744631180398,0.005450710654258728
12,0.035545722796366766,0.018635380480970656
13,0.02448094865450492,0.028454050421714783
14,0.04300043101494129,0.03956774728638785
15,0.012895542841691237,0.048292363328593116
16,0.03677595922580132,0.007425300776958466
17,0.020677507496797122,0.09989019696201597
18,0.020689143011203177,0.1012258061340877
19,0.013416889768380385,0.04418066995484488
20,0.005647134322386522,0.0
21,0.013588539682901822,0.01986314888511385
22,0.00327507693033952,0.017497149961335317
23,0.0059942001333603495,0.026856114821774617
24,0.0022783525861226595,0.0
25,0.01687881751702382,0.021278118448598043
26,0.002733493080505958,0.02662631922534534
27,0.024717795161100533,0.013285714600767409
28,0.002847740283379188,0.008788772991725377
29,0.004550535518389482,0.009822347334453039
30,0.0015977093806633581,0.023709595203399658
