epoch,train_loss,valid_loss
1,0.164330960384437,0.9944839179515839
2,0.053280241787433624,0.9292881041765213
3,0.024552246821778163,0.831361785531044
4,0.02965348639658519,0.4895520433783531
5,0.06436225452593394,0.06805318966507912
6,0.053298751158373694,0.023110980167984962
7,0.03037009494645255,0.11117304116487503
8,0.03808559903076717,0.047039296478033066
9,0.02137597863163267,0.025309037417173386
10,0.09040717567716326,0.05488236993551254
11,0.041693889669009616,0.05048506520688534
12,0.04711003175803593,0.04002542793750763
13,0.01515347617013114,0.004917577840387821
14,0.03400806337594986,0.06733313761651516
15,0.016517730695860728,0.05669490247964859
16,0.015336205916745322,0.01049070991575718
17,0.002190085394041879,0.10556219331920147
18,0.008734638137476785,0.015246858820319176
19,0.01824888906308583,0.055203935131430626
20,0.024868454251970564,0.014522895216941833
21,0.012251301535538264,0.015048255212605
22,0.00974784791469574,0.033669572323560715
23,0.0101128774029868,0.08781886845827103
