epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1179.21,1.498,1.06566,0.00313,0.81468,0.79832,0.82251,0.33664,2.10709,0.91781,0.00602,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129
31,1217.87,1.52396,0.96385,0.0033,0.87142,0.71429,0.83944,0.32305,2.17256,0.96162,0.00628,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
32,1256.29,1.52119,0.97943,0.00322,0.78168,0.76471,0.82908,0.32904,2.20069,0.96041,0.00634,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931
33,1294.93,1.4591,0.92914,0.00319,0.82932,0.72269,0.8338,0.33385,2.09923,1.10058,0.00598,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
34,1333.57,1.46503,0.94975,0.00308,0.81379,0.70588,0.79256,0.3065,2.11308,1.13699,0.00612,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733
35,1371.88,1.41825,0.89416,0.00307,0.86361,0.66387,0.79996,0.31679,2.05456,1.18084,0.00592,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
36,1410.28,1.43344,0.84394,0.00301,0.83738,0.76471,0.8019,0.32791,2.16788,0.85363,0.00631,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
37,1448.38,1.42226,0.85464,0.00298,0.79758,0.79832,0.84296,0.33506,2.13987,0.93904,0.00615,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
38,1486.41,1.44158,0.79413,0.0031,0.91168,0.73109,0.85686,0.35382,2.10009,0.93562,0.00596,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337
39,1524.62,1.41361,0.76728,0.00296,0.84615,0.78151,0.83584,0.32622,2.18437,0.91833,0.00625,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
40,1562.87,1.38555,0.77694,0.00299,0.83119,0.7448,0.8424,0.32835,2.1496,0.9261,0.00624,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139
41,1601.89,1.42483,0.72716,0.003,0.81798,0.79308,0.81322,0.31819,2.18786,0.896,0.00638,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
42,1640.37,1.35419,0.77216,0.00287,0.87514,0.77311,0.84427,0.36018,2.06882,1.00656,0.00583,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941
43,1679.17,1.35799,0.75727,0.00278,0.85282,0.77909,0.85316,0.3488,2.11322,1.0242,0.00601,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
44,1718.46,1.34639,0.74336,0.00286,0.87076,0.78151,0.86591,0.36473,2.07485,0.91034,0.006,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743
45,1757.6,1.33625,0.73953,0.00281,0.89177,0.78992,0.87295,0.36315,2.09585,0.82639,0.00605,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
46,1796.59,1.38539,0.70877,0.00285,0.89733,0.80793,0.88026,0.33206,2.20884,0.86928,0.0064,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
47,1835.21,1.35508,0.70617,0.00275,0.91079,0.77311,0.86277,0.34242,2.17349,1.03806,0.00625,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
48,1873.95,1.3164,0.70973,0.0027,0.82087,0.78992,0.82281,0.31826,2.2173,0.97294,0.00649,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347
49,1912.86,1.32543,0.65422,0.00285,0.91507,0.72433,0.8505,0.33834,2.18207,0.95345,0.00631,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
50,1951.6,1.23813,0.61454,0.00263,0.88955,0.77311,0.83462,0.34218,2.13111,0.99476,0.00618,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149
51,1990.45,1.3472,0.68887,0.00279,0.93595,0.73678,0.83986,0.34143,2.13685,1.10287,0.00619,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
52,2028.97,1.23953,0.64058,0.00264,0.90846,0.75059,0.85915,0.3661,2.15037,0.99713,0.00623,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951
53,2068.12,1.23826,0.60975,0.00258,0.92057,0.77916,0.85041,0.38008,2.10208,0.90108,0.00604,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
54,2107.47,1.2775,0.6153,0.00268,0.85455,0.7395,0.83164,0.35617,2.16331,0.94707,0.00628,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753
