epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,269.306,1.69941,0.79144,0.0038,0.95554,0.7224,0.86845,0.34243,2.12688,0.93074,0.00587,0.00531096,0.00177032,0.00531096,0.00177032,0.00531096,0.00177032,0.00531096,0.00177032
31,278.192,1.69968,0.79138,0.00376,0.90469,0.71792,0.85511,0.33951,2.16483,1.10718,0.00603,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
32,287.139,1.70825,0.85495,0.00373,0.81911,0.72302,0.76251,0.30714,2.21515,1.03459,0.00622,0.00526344,0.00175448,0.00526344,0.00175448,0.00526344,0.00175448,0.00526344,0.00175448
33,295.913,1.67849,0.79093,0.00361,0.83304,0.71429,0.78109,0.31966,2.21837,0.96176,0.00643,0.00523968,0.00174656,0.00523968,0.00174656,0.00523968,0.00174656,0.00523968,0.00174656
34,304.7,1.71263,0.7175,0.00365,0.82276,0.78019,0.82022,0.34592,2.16596,0.88677,0.00618,0.00521592,0.00173864,0.00521592,0.00173864,0.00521592,0.00173864,0.00521592,0.00173864
35,313.533,1.71311,0.7315,0.00358,0.8888,0.73887,0.84132,0.32411,2.19531,1.03735,0.00626,0.00519216,0.00173072,0.00519216,0.00173072,0.00519216,0.00173072,0.00519216,0.00173072
36,322.477,1.62979,0.684,0.00352,0.88098,0.72269,0.80595,0.31611,2.20566,0.89185,0.00642,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
37,331.247,1.62411,0.68855,0.00355,0.86932,0.78262,0.85429,0.32436,2.34265,0.85592,0.00667,0.00514464,0.00171488,0.00514464,0.00171488,0.00514464,0.00171488,0.00514464,0.00171488
38,339.931,1.67554,0.76693,0.00355,0.88705,0.78992,0.88627,0.37065,2.12218,0.78988,0.0061,0.00512088,0.00170696,0.00512088,0.00170696,0.00512088,0.00170696,0.00512088,0.00170696
39,348.779,1.59179,0.65377,0.00346,0.82917,0.7563,0.83579,0.33273,2.21792,0.83045,0.00641,0.00509712,0.00169904,0.00509712,0.00169904,0.00509712,0.00169904,0.00509712,0.00169904
