epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,394.036,1.72608,1.62111,0.00375,0.69664,0.62185,0.66422,0.25232,2.24834,1.24134,0.00668,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129
31,406.607,1.75706,1.58817,0.00376,0.7602,0.66387,0.72463,0.29119,2.08915,1.29081,0.00607,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
32,419.317,1.70561,1.55649,0.00385,0.7737,0.65546,0.72881,0.3041,2.15076,1.23425,0.00622,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931
33,432.219,1.71921,1.45345,0.00373,0.69071,0.67227,0.70094,0.28356,2.21727,1.27369,0.00654,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
34,444.898,1.704,1.41379,0.00369,0.7287,0.68908,0.73809,0.29354,2.1197,1.21374,0.00621,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733
35,457.514,1.7446,1.40019,0.00379,0.78066,0.67227,0.75954,0.28273,2.18779,1.19473,0.00638,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
36,470.254,1.72765,1.36676,0.00376,0.72497,0.72269,0.7097,0.29214,2.15149,1.14317,0.00635,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
37,483.005,1.67919,1.29985,0.00368,0.64965,0.76355,0.73854,0.27687,2.25738,1.09942,0.00656,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
38,495.662,1.73969,1.28995,0.00389,0.72839,0.71429,0.73328,0.26507,2.3517,0.97446,0.00702,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337
39,508.394,1.69231,1.26446,0.00363,0.74803,0.73109,0.73326,0.25412,2.31904,1.25223,0.00677,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
40,521.116,1.691,1.27595,0.00379,0.74033,0.73109,0.76858,0.29024,2.25922,1.09507,0.00663,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139
41,533.798,1.64841,1.22312,0.00367,0.79937,0.72269,0.81964,0.31318,2.27745,0.98442,0.00654,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
42,546.643,1.6732,1.21962,0.00355,0.78242,0.75549,0.79355,0.30467,2.21269,1.00372,0.00639,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941
43,559.265,1.64848,1.10707,0.00359,0.84088,0.68908,0.7702,0.30193,2.1959,1.07893,0.00629,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
44,571.898,1.68855,1.08978,0.00359,0.75733,0.76056,0.79043,0.32045,2.20728,0.96869,0.00634,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743
45,584.741,1.6162,1.04267,0.00349,0.7111,0.78151,0.7858,0.3069,2.16319,1.13815,0.00622,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
46,597.428,1.60232,1.01561,0.00341,0.762,0.75336,0.76856,0.31421,2.17506,1.07254,0.00633,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
47,609.977,1.63705,1.05555,0.0036,0.73082,0.78151,0.77209,0.30842,2.20528,1.03494,0.00631,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
48,622.763,1.60884,1.03285,0.00349,0.70417,0.78151,0.7731,0.29989,2.17898,1.09725,0.00629,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347
49,635.617,1.57294,0.9853,0.0034,0.80124,0.64706,0.7488,0.29911,2.24997,1.03961,0.00649,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
50,648.279,1.57215,1.01173,0.00336,0.75473,0.69818,0.71787,0.28322,2.25561,0.97754,0.00661,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149
51,661.092,1.51539,0.98595,0.00333,0.74899,0.69748,0.73453,0.27987,2.26306,1.00159,0.00659,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
52,673.797,1.5218,0.94283,0.00329,0.78715,0.74586,0.7871,0.30538,2.2346,0.96037,0.00637,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951
53,686.587,1.57214,0.99712,0.00342,0.76592,0.7395,0.78002,0.30975,2.27832,0.96956,0.0067,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
54,699.467,1.54057,0.96967,0.00334,0.86723,0.70588,0.7922,0.31381,2.25101,0.96021,0.00653,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753
55,712.164,1.58422,0.9281,0.00339,0.74773,0.71429,0.76438,0.3111,2.1884,1.03666,0.00636,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
56,724.873,1.54166,0.88661,0.0033,0.83155,0.76471,0.80761,0.33347,2.18243,0.92384,0.0063,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
57,737.678,1.5635,0.88973,0.0034,0.76214,0.72702,0.79103,0.30425,2.18932,1.06323,0.00639,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
58,750.244,1.53582,0.87637,0.0032,0.80321,0.78151,0.79376,0.32306,2.26691,0.86147,0.0067,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357
59,763.015,1.4862,0.82302,0.0032,0.81196,0.71429,0.76594,0.31686,2.18715,1.01418,0.00651,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
60,775.805,1.48652,0.86726,0.00319,0.79587,0.7208,0.79743,0.32551,2.18022,0.96678,0.00626,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159
61,788.464,1.58137,0.88492,0.00345,0.83992,0.70546,0.81094,0.33881,2.17456,0.98853,0.00621,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
62,801.144,1.48594,0.87413,0.00314,0.79098,0.76471,0.79024,0.33196,2.19322,0.85878,0.00641,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961
63,813.725,1.49421,0.83292,0.00318,0.72825,0.76568,0.81013,0.32769,2.15651,0.95634,0.00615,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
64,826.744,1.5111,0.8507,0.00321,0.7309,0.68474,0.7378,0.30622,2.2422,0.98218,0.00654,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763
65,839.335,1.50223,0.82332,0.00329,0.79718,0.72269,0.79567,0.32031,2.19106,0.96668,0.00637,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
66,851.943,1.44601,0.78752,0.00301,0.79158,0.71429,0.78775,0.30282,2.24547,0.95085,0.0067,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
67,864.539,1.49911,0.78916,0.00322,0.78934,0.7242,0.77671,0.32371,2.14712,0.94439,0.00619,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
68,877.158,1.46948,0.75908,0.00307,0.74473,0.76003,0.78203,0.30196,2.21513,0.99283,0.00645,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367
69,889.646,1.4604,0.75333,0.00305,0.8627,0.7392,0.82773,0.31287,2.11776,0.98277,0.00608,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
70,902.212,1.45301,0.77114,0.00313,0.81818,0.77311,0.83665,0.34664,2.08803,0.8298,0.00602,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169
71,915.048,1.45307,0.74067,0.00309,0.81833,0.7395,0.78666,0.31988,2.17836,0.89434,0.00631,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
72,927.666,1.45379,0.73635,0.00315,0.73748,0.7395,0.75696,0.31555,2.19396,0.92133,0.00638,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971
