p_low,p_high,w_tier5,w_tier3,tau_vote,f1,recall,precision,accuracy,tp,tn,fp,fn,esc_ratio
0.001,0.4,0.0,1.0,0.2,0.8571428571428571,1.0,0.75,0.8571428571428571,33,33,11,0,0.35064935064935066
0.001,0.4,0.0,1.0,0.21000000000000002,0.8571428571428571,1.0,0.75,0.8571428571428571,33,33,11,0,0.35064935064935066
0.001,0.4,0.0,1.0,0.22,0.8571428571428571,1.0,0.75,0.8571428571428571,33,33,11,0,0.35064935064935066
0.001,0.4,0.0,1.0,0.23,0.8571428571428571,1.0,0.75,0.8571428571428571,33,33,11,0,0.35064935064935066
0.001,0.4,0.0,1.0,0.24000000000000002,0.8571428571428571,1.0,0.75,0.8571428571428571,33,33,11,0,0.35064935064935066
0.001,0.4,0.0,1.0,0.25,0.8421052631578948,0.9696969696969697,0.7441860465116279,0.8441558441558441,32,33,11,1,0.35064935064935066
0.001,0.4,0.0,1.0,0.26,0.8421052631578948,0.9696969696969697,0.7441860465116279,0.8441558441558441,32,33,11,1,0.35064935064935066
0.001,0.4,0.0,1.0,0.27,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.28,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.29000000000000004,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.30000000000000004,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.31,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.32,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.33,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.34,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.35,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.36,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.37,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.38,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.39,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.4,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.41000000000000003,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
