epoch,train_loss,valid_loss
1,2.3676625319889615,2.1890705227851868
2,2.088272418294634,1.9629306197166443
3,2.0676463842391968,1.7848667800426483
4,1.9186123950140817,1.8617609441280365
5,1.7163727624075753,1.6540229618549347
6,1.7007430791854858,1.6807448863983154
7,1.6854075363704137,1.5605257749557495
8,1.6694663252149309,1.52879798412323
9,1.6421193735940116,1.64478400349617
10,1.6334168910980225,1.5583414733409882
11,1.5134729828153337,1.388391524553299
12,1.4820084912436349,1.385132074356079
13,1.4767558574676514,1.4304528832435608
14,1.4526071037564958,1.4460930824279785
15,1.3941415888922555,1.3953588008880615
16,1.336769597870963,1.2699128240346909
17,1.3710579872131348,1.2738891541957855
18,1.3967627457209997,1.3404162228107452
19,1.2960034438541956,1.307640939950943
20,1.3802457707268851,1.2255372405052185
21,1.3717377867017473,1.2429656684398651
22,1.215954031263079,1.111493393778801
23,1.2160160882132394,1.2355257868766785
24,1.2227351324898856,1.2250011563301086
25,1.218341384615217,1.096130982041359
26,1.2527854612895422,1.1491993367671967
27,1.3172559567860194,1.175357311964035
28,1.2769283056259155,1.1908146739006042
29,1.211450525692531,1.1407905220985413
30,1.207896419933864,1.1985059082508087
