epoch,train_loss,valid_loss
1,0.09210112461676964,0.5571439947400775
2,0.13308406506593412,0.06407201609441213
3,0.05589887155936314,0.029236488044261932
4,0.050284529534670025,0.04582702900682177
5,0.053020179271698,0.03154372423887253
6,0.02283779359780825,0.054278042167425156
7,0.007050835742400243,0.025222760226045336
8,0.023742051938405402,0.016166136733123233
9,0.03296139778999182,0.08516280033758708
10,0.06353919551922725,0.029402959559644972
11,0.013274446702920474,0.06200025975704193
12,0.01696606553517855,0.05992991157940456
13,0.00322096966780149,0.04843078340802874
14,0.016154572940789737,0.05414192484957831
15,0.008958799907794366,0.002174456204686846
16,0.034313834057404444,0.0
17,0.007105224407636202,0.02631604511822973
18,0.013656639708922459,0.024866429822785512
19,0.037367462538755856,0.008420852678162711
20,0.004449773866396684,0.01276762570653643
21,0.01123439004788032,0.012138359780822481
22,0.028551544134433452,0.01255220068352563
23,0.00993281602859497,0.04257795001779284
24,0.014428914739535404,0.08364410698413849
25,0.027458610729529306,0.015372662671974726
26,0.0033536037573447595,0.031569212675094604
