ensemble_type,w_tier5,w_tier3,threshold,f1_score,recall,precision,accuracy,fp,fn
Tier5_plus_Tier3,0.25,0.75,0.34,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.25,0.75,0.35,0.8493,93.94,77.5,85.71,9,2
Tier5_plus_Tier3,0.25,0.75,0.36,0.8493,93.94,77.5,85.71,9,2
Tier5_plus_Tier3,0.25,0.75,0.37,0.8611,93.94,79.49,87.01,8,2
Tier5_plus_Tier3,0.25,0.75,0.38,0.8611,93.94,79.49,87.01,8,2
Tier5_plus_Tier3,0.25,0.75,0.39,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.25,0.75,0.4,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.25,0.75,0.41,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.25,0.75,0.42,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.25,0.75,0.43,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.25,0.75,0.44,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.25,0.75,0.45,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.25,0.75,0.46,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.25,0.75,0.47,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.25,0.75,0.48,0.8857,93.94,83.78,89.61,6,2
Tier5_plus_Tier3,0.25,0.75,0.49,0.8857,93.94,83.78,89.61,6,2
Tier5_plus_Tier3,0.25,0.75,0.5,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.25,0.75,0.51,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.25,0.75,0.52,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.25,0.75,0.53,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.25,0.75,0.54,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.25,0.75,0.55,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.25,0.75,0.56,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.25,0.75,0.57,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.25,0.75,0.58,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.25,0.75,0.59,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.25,0.75,0.6,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.25,0.75,0.61,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.25,0.75,0.62,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.25,0.75,0.63,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.25,0.75,0.64,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.25,0.75,0.65,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.25,0.75,0.66,0.8182,81.82,81.82,84.42,6,6
Tier5_plus_Tier3,0.25,0.75,0.67,0.8182,81.82,81.82,84.42,6,6
Tier5_plus_Tier3,0.25,0.75,0.68,0.8065,75.76,86.21,84.42,4,8
Tier5_plus_Tier3,0.25,0.75,0.69,0.8333,75.76,92.59,87.01,2,8
Tier5_plus_Tier3,0.25,0.75,0.7,0.8333,75.76,92.59,87.01,2,8
Tier5_plus_Tier3,0.3,0.7,0.3,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.3,0.7,0.31,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.3,0.7,0.32,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.3,0.7,0.33,0.8493,93.94,77.5,85.71,9,2
Tier5_plus_Tier3,0.3,0.7,0.34,0.8493,93.94,77.5,85.71,9,2
Tier5_plus_Tier3,0.3,0.7,0.35,0.8611,93.94,79.49,87.01,8,2
Tier5_plus_Tier3,0.3,0.7,0.36,0.8611,93.94,79.49,87.01,8,2
Tier5_plus_Tier3,0.3,0.7,0.37,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.3,0.7,0.38,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.3,0.7,0.39,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.3,0.7,0.4,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.3,0.7,0.41,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.3,0.7,0.42,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.3,0.7,0.43,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.3,0.7,0.44,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.3,0.7,0.45,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.3,0.7,0.46,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.3,0.7,0.47,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.3,0.7,0.48,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.49,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.5,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.51,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.52,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.53,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.54,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.55,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.56,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.57,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.58,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.59,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.6,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.3,0.7,0.61,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.3,0.7,0.62,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.3,0.7,0.63,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.3,0.7,0.64,0.8438,81.82,87.1,87.01,4,6
Tier5_plus_Tier3,0.3,0.7,0.65,0.871,81.82,93.1,89.61,2,6
Tier5_plus_Tier3,0.3,0.7,0.66,0.871,81.82,93.1,89.61,2,6
Tier5_plus_Tier3,0.3,0.7,0.67,0.8525,78.79,92.86,88.31,2,7
Tier5_plus_Tier3,0.3,0.7,0.68,0.8333,75.76,92.59,87.01,2,8
Tier5_plus_Tier3,0.3,0.7,0.69,0.8136,72.73,92.31,85.71,2,9
Tier5_plus_Tier3,0.3,0.7,0.7,0.8214,69.7,100.0,87.01,0,10
Tier5_plus_Tier3,0.35,0.65,0.3,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.35,0.65,0.31,0.8493,93.94,77.5,85.71,9,2
Tier5_plus_Tier3,0.35,0.65,0.32,0.8493,93.94,77.5,85.71,9,2
Tier5_plus_Tier3,0.35,0.65,0.33,0.8493,93.94,77.5,85.71,9,2
Tier5_plus_Tier3,0.35,0.65,0.34,0.8611,93.94,79.49,87.01,8,2
Tier5_plus_Tier3,0.35,0.65,0.35,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.35,0.65,0.36,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.35,0.65,0.37,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.35,0.65,0.38,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.35,0.65,0.39,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.35,0.65,0.4,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.35,0.65,0.41,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.35,0.65,0.42,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.35,0.65,0.43,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.35,0.65,0.44,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.35,0.65,0.45,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.35,0.65,0.46,0.8571,90.91,81.08,87.01,7,3
Tier5_plus_Tier3,0.35,0.65,0.47,0.8571,90.91,81.08,87.01,7,3
Tier5_plus_Tier3,0.35,0.65,0.48,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.35,0.65,0.49,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.35,0.65,0.5,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.35,0.65,0.51,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.35,0.65,0.52,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.35,0.65,0.53,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.35,0.65,0.54,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.35,0.65,0.55,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.35,0.65,0.56,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.35,0.65,0.57,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.35,0.65,0.58,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.35,0.65,0.59,0.8955,90.91,88.24,90.91,4,3
Tier5_plus_Tier3,0.35,0.65,0.6,0.9062,87.88,93.55,92.21,2,4
Tier5_plus_Tier3,0.35,0.65,0.61,0.8889,84.85,93.33,90.91,2,5
Tier5_plus_Tier3,0.35,0.65,0.62,0.871,81.82,93.1,89.61,2,6
Tier5_plus_Tier3,0.35,0.65,0.63,0.871,81.82,93.1,89.61,2,6
Tier5_plus_Tier3,0.35,0.65,0.64,0.871,81.82,93.1,89.61,2,6
Tier5_plus_Tier3,0.35,0.65,0.65,0.8814,78.79,100.0,90.91,0,7
Tier5_plus_Tier3,0.35,0.65,0.66,0.8814,78.79,100.0,90.91,0,7
Tier5_plus_Tier3,0.35,0.65,0.67,0.8621,75.76,100.0,89.61,0,8
Tier5_plus_Tier3,0.35,0.65,0.68,0.8,66.67,100.0,85.71,0,11
Tier5_plus_Tier3,0.35,0.65,0.69,0.8,66.67,100.0,85.71,0,11
Tier5_plus_Tier3,0.35,0.65,0.7,0.8,66.67,100.0,85.71,0,11
Tier5_plus_Tier3,0.4,0.6,0.3,0.8493,93.94,77.5,85.71,9,2
Tier5_plus_Tier3,0.4,0.6,0.31,0.8493,93.94,77.5,85.71,9,2
Tier5_plus_Tier3,0.4,0.6,0.32,0.8611,93.94,79.49,87.01,8,2
Tier5_plus_Tier3,0.4,0.6,0.33,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.4,0.6,0.34,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.4,0.6,0.35,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.4,0.6,0.36,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.4,0.6,0.37,0.8732,93.94,81.58,88.31,7,2
