edge_screener,server_committee,p_low,p_high,pct_esc,f1_score,recall,precision,accuracy,fp,fn,eff_tot_gpu_ms,eff_fps_gpu,eff_tot_cpu_ms,eff_fps_cpu
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.05,0.7,33.77,0.9688,93.94,100.0,97.4,0,2,33.56,29.8,226.16,4.4
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.05,0.8,37.66,0.9688,93.94,100.0,97.4,0,2,34.36,29.1,228.76,4.4
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.05,0.85,38.96,0.9688,93.94,100.0,97.4,0,2,34.63,28.9,229.62,4.4
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.05,0.9,40.26,0.9688,93.94,100.0,97.4,0,2,34.9,28.7,230.49,4.3
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.05,0.95,42.86,0.9688,93.94,100.0,97.4,0,2,35.43,28.2,232.22,4.3
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.05,0.98,51.95,0.9688,93.94,100.0,97.4,0,2,37.3,26.8,238.27,4.2
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.05,0.99,54.55,0.9688,93.94,100.0,97.4,0,2,37.84,26.4,240.0,4.2
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.05,0.999,59.74,0.9688,93.94,100.0,97.4,0,2,38.91,25.7,243.46,4.1
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.1,0.5,20.78,0.9355,87.88,100.0,94.81,0,4,30.88,32.4,217.51,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.1,0.6,25.97,0.9355,87.88,100.0,94.81,0,4,31.95,31.3,220.97,4.5
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.1,0.7,25.97,0.9355,87.88,100.0,94.81,0,4,31.95,31.3,220.97,4.5
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.1,0.8,29.87,0.9355,87.88,100.0,94.81,0,4,32.76,30.5,223.57,4.5
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.1,0.85,31.17,0.9355,87.88,100.0,94.81,0,4,33.02,30.3,224.43,4.5
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.1,0.9,32.47,0.9355,87.88,100.0,94.81,0,4,33.29,30.0,225.3,4.4
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.1,0.95,35.06,0.9355,87.88,100.0,94.81,0,4,33.83,29.6,227.03,4.4
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.1,0.98,44.16,0.9355,87.88,100.0,94.81,0,4,35.7,28.0,233.08,4.3
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.1,0.99,46.75,0.9355,87.88,100.0,94.81,0,4,36.23,27.6,234.81,4.3
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.1,0.999,51.95,0.9355,87.88,100.0,94.81,0,4,37.3,26.8,238.27,4.2
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.15,0.5,11.69,0.9,81.82,100.0,92.21,0,6,29.01,34.5,211.45,4.7
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.15,0.6,16.88,0.9,81.82,100.0,92.21,0,6,30.08,33.2,214.91,4.7
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.15,0.7,16.88,0.9,81.82,100.0,92.21,0,6,30.08,33.2,214.91,4.7
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.15,0.8,20.78,0.9,81.82,100.0,92.21,0,6,30.88,32.4,217.51,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.15,0.85,22.08,0.9,81.82,100.0,92.21,0,6,31.15,32.1,218.37,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.15,0.9,23.38,0.9,81.82,100.0,92.21,0,6,31.42,31.8,219.24,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.15,0.95,25.97,0.9,81.82,100.0,92.21,0,6,31.95,31.3,220.97,4.5
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.15,0.98,35.06,0.9,81.82,100.0,92.21,0,6,33.83,29.6,227.03,4.4
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.15,0.99,37.66,0.9,81.82,100.0,92.21,0,6,34.36,29.1,228.76,4.4
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.15,0.999,42.86,0.9,81.82,100.0,92.21,0,6,35.43,28.2,232.22,4.3
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.2,0.5,9.09,0.8621,75.76,100.0,89.61,0,8,28.48,35.1,209.72,4.8
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.2,0.6,14.29,0.8621,75.76,100.0,89.61,0,8,29.55,33.8,213.18,4.7
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.2,0.7,14.29,0.8621,75.76,100.0,89.61,0,8,29.55,33.8,213.18,4.7
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.2,0.8,18.18,0.8621,75.76,100.0,89.61,0,8,30.35,33.0,215.78,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.2,0.85,19.48,0.8621,75.76,100.0,89.61,0,8,30.62,32.7,216.64,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.2,0.9,20.78,0.8621,75.76,100.0,89.61,0,8,30.88,32.4,217.51,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.2,0.95,23.38,0.8621,75.76,100.0,89.61,0,8,31.42,31.8,219.24,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.2,0.98,32.47,0.8621,75.76,100.0,89.61,0,8,33.29,30.0,225.3,4.4
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.2,0.99,35.06,0.8621,75.76,100.0,89.61,0,8,33.83,29.6,227.03,4.4
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.2,0.999,40.26,0.8621,75.76,100.0,89.61,0,8,34.9,28.7,230.49,4.3
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.25,0.5,7.79,0.8621,75.76,100.0,89.61,0,8,28.21,35.5,208.86,4.8
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.25,0.6,12.99,0.8621,75.76,100.0,89.61,0,8,29.28,34.2,212.32,4.7
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.25,0.7,12.99,0.8621,75.76,100.0,89.61,0,8,29.28,34.2,212.32,4.7
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.25,0.8,16.88,0.8621,75.76,100.0,89.61,0,8,30.08,33.2,214.91,4.7
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.25,0.85,18.18,0.8621,75.76,100.0,89.61,0,8,30.35,33.0,215.78,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.25,0.9,19.48,0.8621,75.76,100.0,89.61,0,8,30.62,32.7,216.64,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.25,0.95,22.08,0.8621,75.76,100.0,89.61,0,8,31.15,32.1,218.37,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.25,0.98,31.17,0.8621,75.76,100.0,89.61,0,8,33.02,30.3,224.43,4.5
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.25,0.99,33.77,0.8621,75.76,100.0,89.61,0,8,33.56,29.8,226.16,4.4
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.25,0.999,38.96,0.8621,75.76,100.0,89.61,0,8,34.63,28.9,229.62,4.4
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.3,0.5,7.79,0.8621,75.76,100.0,89.61,0,8,28.21,35.5,208.86,4.8
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.3,0.6,12.99,0.8621,75.76,100.0,89.61,0,8,29.28,34.2,212.32,4.7
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.3,0.7,12.99,0.8621,75.76,100.0,89.61,0,8,29.28,34.2,212.32,4.7
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.3,0.8,16.88,0.8621,75.76,100.0,89.61,0,8,30.08,33.2,214.91,4.7
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.3,0.85,18.18,0.8621,75.76,100.0,89.61,0,8,30.35,33.0,215.78,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.3,0.9,19.48,0.8621,75.76,100.0,89.61,0,8,30.62,32.7,216.64,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.3,0.95,22.08,0.8621,75.76,100.0,89.61,0,8,31.15,32.1,218.37,4.6
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.3,0.98,31.17,0.8621,75.76,100.0,89.61,0,8,33.02,30.3,224.43,4.5
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.3,0.99,33.77,0.8621,75.76,100.0,89.61,0,8,33.56,29.8,226.16,4.4
PoseConv3D Tier 5,Champion m=3 (ST+CTR+T3),0.3,0.999,38.96,0.8621,75.76,100.0,89.61,0,8,34.63,28.9,229.62,4.4
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.001,0.5,42.86,1.0,100.0,100.0,100.0,0,0,41.13,24.3,242.46,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.001,0.6,48.05,1.0,100.0,100.0,100.0,0,0,42.89,23.3,247.16,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.001,0.7,48.05,1.0,100.0,100.0,100.0,0,0,42.89,23.3,247.16,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.001,0.8,51.95,1.0,100.0,100.0,100.0,0,0,44.21,22.6,250.69,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.001,0.85,53.25,1.0,100.0,100.0,100.0,0,0,44.65,22.4,251.86,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.001,0.9,54.55,1.0,100.0,100.0,100.0,0,0,45.09,22.2,253.04,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.001,0.95,57.14,1.0,100.0,100.0,100.0,0,0,45.97,21.8,255.39,3.9
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.001,0.98,66.23,1.0,100.0,100.0,100.0,0,0,49.05,20.4,263.62,3.8
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.001,0.99,68.83,1.0,100.0,100.0,100.0,0,0,49.94,20.0,265.97,3.8
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.001,0.999,74.03,1.0,100.0,100.0,100.0,0,0,51.7,19.3,270.67,3.7
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.005,0.5,36.36,0.9846,96.97,100.0,98.7,0,1,38.93,25.7,236.58,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.005,0.6,41.56,0.9846,96.97,100.0,98.7,0,1,40.69,24.6,241.28,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.005,0.7,41.56,0.9846,96.97,100.0,98.7,0,1,40.69,24.6,241.28,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.005,0.8,45.45,0.9846,96.97,100.0,98.7,0,1,42.01,23.8,244.81,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.005,0.85,46.75,0.9846,96.97,100.0,98.7,0,1,42.45,23.6,245.99,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.005,0.9,48.05,0.9846,96.97,100.0,98.7,0,1,42.89,23.3,247.16,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.005,0.95,50.65,0.9846,96.97,100.0,98.7,0,1,43.77,22.8,249.51,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.005,0.98,59.74,0.9846,96.97,100.0,98.7,0,1,46.85,21.3,257.74,3.9
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.005,0.99,62.34,0.9846,96.97,100.0,98.7,0,1,47.73,20.9,260.09,3.8
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.005,0.999,67.53,0.9846,96.97,100.0,98.7,0,1,49.5,20.2,264.8,3.8
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.01,0.5,36.36,0.9846,96.97,100.0,98.7,0,1,38.93,25.7,236.58,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.01,0.6,41.56,0.9846,96.97,100.0,98.7,0,1,40.69,24.6,241.28,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.01,0.7,41.56,0.9846,96.97,100.0,98.7,0,1,40.69,24.6,241.28,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.01,0.8,45.45,0.9846,96.97,100.0,98.7,0,1,42.01,23.8,244.81,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.01,0.85,46.75,0.9846,96.97,100.0,98.7,0,1,42.45,23.6,245.99,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.01,0.9,48.05,0.9846,96.97,100.0,98.7,0,1,42.89,23.3,247.16,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.01,0.95,50.65,0.9846,96.97,100.0,98.7,0,1,43.77,22.8,249.51,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.01,0.98,59.74,0.9846,96.97,100.0,98.7,0,1,46.85,21.3,257.74,3.9
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.01,0.99,62.34,0.9846,96.97,100.0,98.7,0,1,47.73,20.9,260.09,3.8
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.01,0.999,67.53,0.9846,96.97,100.0,98.7,0,1,49.5,20.2,264.8,3.8
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.02,0.5,29.87,0.9846,96.97,100.0,98.7,0,1,36.73,27.2,230.71,4.3
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.02,0.6,35.06,0.9846,96.97,100.0,98.7,0,1,38.49,26.0,235.41,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.02,0.7,35.06,0.9846,96.97,100.0,98.7,0,1,38.49,26.0,235.41,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.02,0.8,38.96,0.9846,96.97,100.0,98.7,0,1,39.81,25.1,238.93,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.02,0.85,40.26,0.9846,96.97,100.0,98.7,0,1,40.25,24.8,240.11,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.02,0.9,41.56,0.9846,96.97,100.0,98.7,0,1,40.69,24.6,241.28,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.02,0.95,44.16,0.9846,96.97,100.0,98.7,0,1,41.57,24.1,243.64,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.02,0.98,53.25,0.9846,96.97,100.0,98.7,0,1,44.65,22.4,251.86,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.02,0.99,55.84,0.9846,96.97,100.0,98.7,0,1,45.53,22.0,254.22,3.9
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.02,0.999,61.04,0.9846,96.97,100.0,98.7,0,1,47.29,21.1,258.92,3.9
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.05,0.5,28.57,0.9688,93.94,100.0,97.4,0,2,36.29,27.6,229.53,4.4
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.05,0.6,33.77,0.9688,93.94,100.0,97.4,0,2,38.05,26.3,234.23,4.3
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.05,0.7,33.77,0.9688,93.94,100.0,97.4,0,2,38.05,26.3,234.23,4.3
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.05,0.8,37.66,0.9688,93.94,100.0,97.4,0,2,39.37,25.4,237.76,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.05,0.85,38.96,0.9688,93.94,100.0,97.4,0,2,39.81,25.1,238.93,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.05,0.9,40.26,0.9688,93.94,100.0,97.4,0,2,40.25,24.8,240.11,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.05,0.95,42.86,0.9688,93.94,100.0,97.4,0,2,41.13,24.3,242.46,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.05,0.98,51.95,0.9688,93.94,100.0,97.4,0,2,44.21,22.6,250.69,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.05,0.99,54.55,0.9688,93.94,100.0,97.4,0,2,45.09,22.2,253.04,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.05,0.999,59.74,0.9688,93.94,100.0,97.4,0,2,46.85,21.3,257.74,3.9
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.1,0.5,20.78,0.9355,87.88,100.0,94.81,0,4,33.65,29.7,222.48,4.5
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.1,0.6,25.97,0.9355,87.88,100.0,94.81,0,4,35.41,28.2,227.18,4.4
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.1,0.7,25.97,0.9355,87.88,100.0,94.81,0,4,35.41,28.2,227.18,4.4
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.1,0.8,29.87,0.9355,87.88,100.0,94.81,0,4,36.73,27.2,230.71,4.3
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.1,0.85,31.17,0.9355,87.88,100.0,94.81,0,4,37.17,26.9,231.88,4.3
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.1,0.9,32.47,0.9355,87.88,100.0,94.81,0,4,37.61,26.6,233.06,4.3
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.1,0.95,35.06,0.9355,87.88,100.0,94.81,0,4,38.49,26.0,235.41,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.1,0.98,44.16,0.9355,87.88,100.0,94.81,0,4,41.57,24.1,243.64,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.1,0.99,46.75,0.9355,87.88,100.0,94.81,0,4,42.45,23.6,245.99,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.1,0.999,51.95,0.9355,87.88,100.0,94.81,0,4,44.21,22.6,250.69,4.0
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.15,0.5,11.69,0.9,81.82,100.0,92.21,0,6,30.57,32.7,214.25,4.7
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.15,0.6,16.88,0.9,81.82,100.0,92.21,0,6,32.33,30.9,218.95,4.6
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.15,0.7,16.88,0.9,81.82,100.0,92.21,0,6,32.33,30.9,218.95,4.6
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.15,0.8,20.78,0.9,81.82,100.0,92.21,0,6,33.65,29.7,222.48,4.5
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.15,0.85,22.08,0.9,81.82,100.0,92.21,0,6,34.09,29.3,223.65,4.5
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.15,0.9,23.38,0.9,81.82,100.0,92.21,0,6,34.53,29.0,224.83,4.4
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.15,0.95,25.97,0.9,81.82,100.0,92.21,0,6,35.41,28.2,227.18,4.4
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.15,0.98,35.06,0.9,81.82,100.0,92.21,0,6,38.49,26.0,235.41,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.15,0.99,37.66,0.9,81.82,100.0,92.21,0,6,39.37,25.4,237.76,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.15,0.999,42.86,0.9,81.82,100.0,92.21,0,6,41.13,24.3,242.46,4.1
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.2,0.5,9.09,0.8621,75.76,100.0,89.61,0,8,29.69,33.7,211.9,4.7
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.2,0.6,14.29,0.8621,75.76,100.0,89.61,0,8,31.45,31.8,216.6,4.6
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.2,0.7,14.29,0.8621,75.76,100.0,89.61,0,8,31.45,31.8,216.6,4.6
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.2,0.8,18.18,0.8621,75.76,100.0,89.61,0,8,32.77,30.5,220.13,4.5
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.2,0.85,19.48,0.8621,75.76,100.0,89.61,0,8,33.21,30.1,221.3,4.5
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.2,0.9,20.78,0.8621,75.76,100.0,89.61,0,8,33.65,29.7,222.48,4.5
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.2,0.95,23.38,0.8621,75.76,100.0,89.61,0,8,34.53,29.0,224.83,4.4
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.2,0.98,32.47,0.8621,75.76,100.0,89.61,0,8,37.61,26.6,233.06,4.3
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.2,0.99,35.06,0.8621,75.76,100.0,89.61,0,8,38.49,26.0,235.41,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.2,0.999,40.26,0.8621,75.76,100.0,89.61,0,8,40.25,24.8,240.11,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.25,0.5,7.79,0.8621,75.76,100.0,89.61,0,8,29.24,34.2,210.72,4.7
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.25,0.6,12.99,0.8621,75.76,100.0,89.61,0,8,31.01,32.3,215.42,4.6
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.25,0.7,12.99,0.8621,75.76,100.0,89.61,0,8,31.01,32.3,215.42,4.6
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.25,0.8,16.88,0.8621,75.76,100.0,89.61,0,8,32.33,30.9,218.95,4.6
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.25,0.85,18.18,0.8621,75.76,100.0,89.61,0,8,32.77,30.5,220.13,4.5
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.25,0.9,19.48,0.8621,75.76,100.0,89.61,0,8,33.21,30.1,221.3,4.5
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.25,0.95,22.08,0.8621,75.76,100.0,89.61,0,8,34.09,29.3,223.65,4.5
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.25,0.98,31.17,0.8621,75.76,100.0,89.61,0,8,37.17,26.9,231.88,4.3
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.25,0.99,33.77,0.8621,75.76,100.0,89.61,0,8,38.05,26.3,234.23,4.3
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.25,0.999,38.96,0.8621,75.76,100.0,89.61,0,8,39.81,25.1,238.93,4.2
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.3,0.5,7.79,0.8621,75.76,100.0,89.61,0,8,29.24,34.2,210.72,4.7
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.3,0.6,12.99,0.8621,75.76,100.0,89.61,0,8,31.01,32.3,215.42,4.6
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.3,0.7,12.99,0.8621,75.76,100.0,89.61,0,8,31.01,32.3,215.42,4.6
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.3,0.8,16.88,0.8621,75.76,100.0,89.61,0,8,32.33,30.9,218.95,4.6
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.3,0.85,18.18,0.8621,75.76,100.0,89.61,0,8,32.77,30.5,220.13,4.5
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.3,0.9,19.48,0.8621,75.76,100.0,89.61,0,8,33.21,30.1,221.3,4.5
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.3,0.95,22.08,0.8621,75.76,100.0,89.61,0,8,34.09,29.3,223.65,4.5
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.3,0.98,31.17,0.8621,75.76,100.0,89.61,0,8,37.17,26.9,231.88,4.3
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.3,0.99,33.77,0.8621,75.76,100.0,89.61,0,8,38.05,26.3,234.23,4.3
PoseConv3D Tier 5,Champion m=4 (ST+CTR+TierS+T3),0.3,0.999,38.96,0.8621,75.76,100.0,89.61,0,8,39.81,25.1,238.93,4.2
PoseConv3D Tier 5,Champion m=2 (ST+T3),0.001,0.5,42.86,1.0,100.0,100.0,100.0,0,0,29.71,33.7,218.98,4.6
PoseConv3D Tier 5,Champion m=2 (ST+T3),0.001,0.6,48.05,1.0,100.0,100.0,100.0,0,0,30.08,33.2,220.84,4.5
PoseConv3D Tier 5,Champion m=2 (ST+T3),0.001,0.7,48.05,1.0,100.0,100.0,100.0,0,0,30.08,33.2,220.84,4.5
PoseConv3D Tier 5,Champion m=2 (ST+T3),0.001,0.8,51.95,1.0,100.0,100.0,100.0,0,0,30.37,32.9,222.23,4.5
PoseConv3D Tier 5,Champion m=2 (ST+T3),0.001,0.85,53.25,1.0,100.0,100.0,100.0,0,0,30.46,32.8,222.7,4.5
PoseConv3D Tier 5,Champion m=2 (ST+T3),0.001,0.9,54.55,1.0,100.0,100.0,100.0,0,0,30.55,32.7,223.16,4.5
PoseConv3D Tier 5,Champion m=2 (ST+T3),0.001,0.95,57.14,1.0,100.0,100.0,100.0,0,0,30.74,32.5,224.09,4.5
PoseConv3D Tier 5,Champion m=2 (ST+T3),0.001,0.98,66.23,0.9846,96.97,100.0,98.7,0,1,31.4,31.8,227.34,4.4
PoseConv3D Tier 5,Champion m=2 (ST+T3),0.001,0.99,68.83,0.9846,96.97,100.0,98.7,0,1,31.59,31.7,228.26,4.4
PoseConv3D Tier 5,Champion m=2 (ST+T3),0.001,0.999,74.03,0.9846,96.97,100.0,98.7,0,1,31.97,31.3,230.12,4.3
PoseConv3D Tier 5,Champion m=2 (ST+T3),0.005,0.5,36.36,0.9846,96.97,100.0,98.7,0,1,29.24,34.2,216.66,4.6
