shrinkage_epsilon,optimal_threshold,f1_score,precision,recall,accuracy,fp,fn
0.002,-4.5681,0.8406,80.56,87.88,85.71,7,4
0.005,-0.7207,0.8116,77.78,84.85,83.12,8,5
0.008,0.5754,0.7941,77.14,81.82,81.82,8,6
0.01,0.9046,0.7647,74.29,78.79,79.22,9,7
0.015,0.1841,0.7632,67.44,87.88,76.62,14,4
0.02,0.6599,0.7632,67.44,87.88,76.62,14,4
0.03,0.5101,0.75,63.83,90.91,74.03,17,3
0.05,-1.117,0.7174,55.93,100.0,66.23,26,0
