epoch,train_loss,valid_loss
1,2.351202998842512,2.4541062712669373
2,2.0221027306147983,1.7811529040336609
3,1.965176326887948,1.7049028873443604
4,1.8843536036355155,1.7514187395572662
5,1.739460519381932,1.7621420323848724
6,1.7847110033035278,1.8246703147888184
7,1.710807204246521,1.796034038066864
8,1.6738739354269845,1.5860564410686493
9,1.649631074496678,1.4017606973648071
10,1.6216270072119576,1.5733168125152588
11,1.6387656245912825,1.3967648148536682
12,1.451297095843724,1.4939355552196503
13,1.4980317865099226,1.391448199748993
14,1.395079493522644,1.3103513419628143
15,1.4036391973495483,1.4925199449062347
16,1.4206778832844325,1.2022491693496704
17,1.3818827697208949,1.252254992723465
18,1.424092514174325,1.3227610886096954
19,1.3282095534460885,1.2915533185005188
20,1.2649759905678886,1.3830774426460266
21,1.2809432915278844,1.3261080384254456
22,1.4080331836427962,1.3054317831993103
23,1.390609724181039,1.3589842021465302
24,1.2615889481135778,1.3389859795570374
25,1.2746072496686662,1.2402330935001373
26,1.3047882659094674,1.2804206311702728
